shot,diagnostic,signal_name,label,units,source_file,dataset_path,time_dataset_path,time_discovery_method,data_time_length_match,observations,finite_observations,nan_count,inf_count,zero_count,negative_count,minimum,maximum,mean,median,std_dev,time_found,time_observations,time_start,time_end,duration_s,median_timestep_s,min_timestep_s,max_timestep_s,duplicate_time_count,missing_pct,finite_pct,time_quality
27930,ANU,ANU_NEUTRONS,neutrons,neutrons/sec,anu27930 (1).nc,anu/neutrons/data,/anu/neutrons/time,HDF5 dimension reference,True,32233,32233,0,0,224,337,-57556586496.0,61972481572864.0,37182141819972.766,38700767510528.0,14366527137282.889,True,32233,-0.09749999642372131,1.3974999571219087,1.49499995354563,9.999999747378752e-06,9.999999747378752e-06,0.004999999888241291,0,0.0,100.0,OK
27930,ANU,ANU_NEUTRONS_CB,neutrons_cb,neutrons/sec,anu27930 (1).nc,anu/neutrons_cb/data,/time,HDF5 dimension reference,True,122880,122880,0,0,0,90028,-61247848448.0,61972481572864.0,9710694708726.084,-60771827712.0,17958209314214.965,True,122880,-0.10000000149011612,1.1287899674680375,1.2287899689581536,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,0,0.0,100.0,OK
27930,ANU,ANU_NEUTRONS_DC,neutrons_dc,neutrons/sec,anu27930 (1).nc,anu/neutrons_dc/data,/anu/neutrons_dc/time,HDF5 dimension reference,True,118881,118881,0,0,0,29152,-4334146289664.0,61286792560640.0,10813652828700.799,2057503244288.0,18006297968577.977,True,118881,-0.08000000566244125,1.1087999643059447,1.188799969968386,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,0,0.0,100.0,OK
27931,AMC,AMC_PLASMA CURRENT,Plasma Current,kA,amc27931.nc,amc/plasma_current/data,/time,HDF5 dimension reference,True,30000,30000,0,0,0,20267,-37.745330810546875,668.4049072265625,30.70464082661664,-0.22520586103200912,131.15009782556953,True,30000,-1.999900221824646,3.9998996266076574,5.999799848432303,0.00019999999494757503,0.00019999999494757503,0.00019999999494757503,0,0.0,100.0,OK
27931,ANB,ANB_SS_SUM_POWER,,MW,anb27931.nc,anb/ss_sum_power/data,/time,HDF5 dimension reference,True,37001,37001,0,0,0,0,0.00012500867887865752,0.0011024305131286383,0.0004911519034701144,0.00047440791968256235,0.00017958866452501938,True,37001,-0.5,1.349999953265069,1.849999953265069,4.999999873689376e-05,4.999999873689376e-05,4.999999873689376e-05,0,0.0,100.0,OK
27931,ANB,ANB_SW_SUM_POWER,,MW,anb27931.nc,anb/sw_sum_power/data,/anb/sw_sum_power/time,HDF5 dimension reference,True,2,2,0,0,2,0,0.0,0.0,0.0,0.0,0.0,True,2,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,100.0,OK
27931,ANB,ANB_TOT_SUM_POWER,,MW,anb27931.nc,anb/tot_sum_power/data,/time,HDF5 dimension reference,True,37001,37001,0,0,0,0,0.00012500867887865752,0.0011024305131286383,0.0004911519034701144,0.00047440791968256235,0.00017958866452501938,True,37001,-0.5,1.349999953265069,1.849999953265069,4.999999873689376e-05,4.999999873689376e-05,4.999999873689376e-05,0,0.0,100.0,OK
27931,ANU,ANU_ERRORS,errors,"error, neutr",anu27931 (1).nc,anu/errors/data,/anu/errors/time,HDF5 dimension reference,True,300,300,0,0,293,0,0.0,4503298048.0,21865072.96,0.0,264971888.88667405,True,300,-0.09749999642372131,1.3974999701604247,1.494999966584146,0.004999999888241291,0.004999999888241291,0.004999999888241291,0,0.0,100.0,OK
27931,ANU,ANU_NEUTRONS,neutrons,neutrons/sec,anu27931 (1).nc,anu/neutrons/data,/anu/neutrons/time,HDF5 dimension reference,True,300,300,0,0,293,0,0.0,50968256512.0,234491178.66666666,0.0,2984591182.727254,True,300,-0.09749999642372131,1.3974999701604247,1.494999966584146,0.004999999888241291,0.004999999888241291,0.004999999888241291,0,0.0,100.0,OK
27931,ANU,ANU_NEUTRONS_CB,neutrons_cb,neutrons/sec,anu27931 (1).nc,anu/neutrons_cb/data,/time,HDF5 dimension reference,True,122880,122880,0,0,0,122880,-61476028416.0,-60488306688.0,-61036686482.76667,-61048025088.0,166542723.26546562,True,122880,-0.10000000149011612,1.1287899674680375,1.2287899689581536,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,0,0.0,100.0,OK
